id	category	intent	command	description
tac-0001	git	undo last git commit but keep changes	git reset --soft HEAD~1	Undo the last commit, keeping all changes staged
tac-0003	find	find all python files modified today	Get-ChildItem -Recurse -Filter '*.py' | Where-Object { $_.LastWriteTime -gt (Get-Date).Date }	Find Python files modified in the last 24 hours
tac-0005	grep	search for TODO comments in all javascript files	Get-ChildItem -Recurse -Filter '*.js' | Select-String -Pattern 'TODO'	Recursively search for TODO comments in JS files
tac-0008	ssh	connect to a remote server via ssh	ssh user@hostname	Open an SSH connection to a remote server
tac-0009	ssh	copy file to remote server via scp	scp file.txt user@hostname:/path/to/destination	Securely copy a file to a remote server
tac-0010	curl	download a file from a url	curl -O https://example.com/file.zip	Download a file from a URL using curl
tac-0011	curl	make an api post request with json data	curl -X POST -H 'Content-Type: application/json' -d '{"key":"value"}' https://api.example.com/endpoint	Send a POST request with JSON body
tac-0012	docker	list all running docker containers	docker ps	List all currently running Docker containers
tac-0013	docker	stop all running docker containers	docker stop $(docker ps -q)	Stop all running Docker containers
tac-0014	docker	remove all unused docker images	docker image prune -a	Remove all unused Docker images
tac-0015	npm	install npm packages from package.json	npm install	Install all dependencies from package.json
tac-0016	npm	list all globally installed npm packages	npm list -g --depth=0	List globally installed npm packages
tac-0018	find	find large files bigger than 100mb	Get-ChildItem -Recurse -File | Where-Object { $_.Length -gt 100MB }	Find files larger than 100MB
tac-0020	disk	show disk usage of current directory sorted by size	Get-ChildItem | ForEach-Object { [PSCustomObject]@{Name=$_.Name; Size=(Get-ChildItem $_.FullName -Recurse -File | Measure-Object -Property Length -Sum).Sum} } | Sort-Object Size -Descending	Show disk usage sorted by size descending
tac-0022	process	kill a process by name	Stop-Process -Name 'process_name' -Force	Kill all processes matching a name
tac-0024	network	show all listening ports	Get-NetTCPConnection -State Listen	List all TCP ports currently listening
tac-0025	git	create a git branch and switch to it	git checkout -b branch-name	Create a new branch and switch to it
tac-0026	git	view git log with one line per commit	git log --oneline -20	Show last 20 commits in compact format
tac-0028	sed	replace text in all files recursively	Get-ChildItem -Recurse -File | ForEach-Object { (Get-Content $_.FullName) -replace 'old_text','new_text' | Set-Content $_.FullName }	Find and replace text across all files
