id,query,query_type,gold_intent,gold_command,acceptable_commands,difficulty,risk_level,known_task,ambiguity,review_required,review_reason,suggested_reviewer_action
TA-B001,undo last git commit but keep changes,canonical,undo last git commit but keep changes,git reset --soft HEAD~1,,easy,medium,true,false,READY_FOR_HUMAN_CONFIRMATION,Straightforward canonical or standard paraphrase query with clear gold command,Confirm wording and approve entry
TA-B002,show git status of current repository,canonical,show git status of current repository,git status,,easy,low,true,false,READY_FOR_HUMAN_CONFIRMATION,Straightforward canonical or standard paraphrase query with clear gold command,Confirm wording and approve entry
TA-B003,list all running docker containers,canonical,list all running docker containers,docker ps,,easy,low,true,false,READY_FOR_HUMAN_CONFIRMATION,Straightforward canonical or standard paraphrase query with clear gold command,Confirm wording and approve entry
TA-B004,install npm packages from package.json,canonical,install npm packages from package.json,npm install,,easy,low,true,false,READY_FOR_HUMAN_CONFIRMATION,Straightforward canonical or standard paraphrase query with clear gold command,Confirm wording and approve entry
TA-B005,list all files including hidden,canonical,list all files including hidden,Get-ChildItem -Force,,easy,low,true,false,READY_FOR_HUMAN_CONFIRMATION,Straightforward canonical or standard paraphrase query with clear gold command,Confirm wording and approve entry
TA-B006,create a new directory,canonical,create a new directory,New-Item -ItemType Directory -Path 'path/to/directory' -Force,,easy,low,true,false,READY_FOR_HUMAN_CONFIRMATION,Straightforward canonical or standard paraphrase query with clear gold command,Confirm wording and approve entry
TA-B007,ping a host to check connectivity,canonical,ping a host to check connectivity,Test-Connection -ComputerName google.com -Count 4,,easy,low,true,false,READY_FOR_HUMAN_CONFIRMATION,Straightforward canonical or standard paraphrase query with clear gold command,Confirm wording and approve entry
TA-B008,show all running processes,canonical,show all running processes,Get-Process,,easy,low,true,false,READY_FOR_HUMAN_CONFIRMATION,Straightforward canonical or standard paraphrase query with clear gold command,Confirm wording and approve entry
TA-B009,kill a process by name,canonical,kill a process by name,Stop-Process -Name 'process_name' -Force,,easy,medium,true,false,READY_FOR_HUMAN_CONFIRMATION,Straightforward canonical or standard paraphrase query with clear gold command,Confirm wording and approve entry
TA-B010,set an environment variable,canonical,set an environment variable,$env:VAR_NAME = 'value',,easy,low,true,false,READY_FOR_HUMAN_CONFIRMATION,Straightforward canonical or standard paraphrase query with clear gold command,Confirm wording and approve entry
TA-B011,show command history,canonical,show command history,Get-History,,easy,low,true,false,READY_FOR_HUMAN_CONFIRMATION,Straightforward canonical or standard paraphrase query with clear gold command,Confirm wording and approve entry
TA-B012,connect to a remote server via ssh,canonical,connect to a remote server via ssh,ssh user@hostname,,easy,low,true,false,READY_FOR_HUMAN_CONFIRMATION,Straightforward canonical or standard paraphrase query with clear gold command,Confirm wording and approve entry
TA-B013,install pip package,canonical,install pip package,pip install package-name,,easy,low,true,false,READY_FOR_HUMAN_CONFIRMATION,Straightforward canonical or standard paraphrase query with clear gold command,Confirm wording and approve entry
TA-B014,download a file from a url,canonical,download a file from a url,curl -O https://example.com/file.zip,,easy,low,true,false,READY_FOR_HUMAN_CONFIRMATION,Straightforward canonical or standard paraphrase query with clear gold command,Confirm wording and approve entry
TA-B015,find large files bigger than 100mb,canonical,find large files bigger than 100mb,Get-ChildItem -Recurse -File | Where-Object { $_.Length -gt 100MB },,easy,low,true,false,READY_FOR_HUMAN_CONFIRMATION,Straightforward canonical or standard paraphrase query with clear gold command,Confirm wording and approve entry
TA-B016,check current user,canonical,check current user,$env:USERNAME,,easy,low,true,false,READY_FOR_HUMAN_CONFIRMATION,Straightforward canonical or standard paraphrase query with clear gold command,Confirm wording and approve entry
TA-B017,show all kubernetes pods in all namespaces,canonical,show all kubernetes pods in all namespaces,kubectl get pods --all-namespaces,,easy,low,true,false,READY_FOR_HUMAN_CONFIRMATION,Straightforward canonical or standard paraphrase query with clear gold command,Confirm wording and approve entry
TA-B018,generate a random password,canonical,generate a random password,openssl rand -base64 32,,easy,low,true,false,READY_FOR_HUMAN_CONFIRMATION,Straightforward canonical or standard paraphrase query with clear gold command,Confirm wording and approve entry
TA-B019,show total disk space,canonical,show total disk space,Get-PSDrive -PSProvider FileSystem,,easy,low,true,false,READY_FOR_HUMAN_CONFIRMATION,Straightforward canonical or standard paraphrase query with clear gold command,Confirm wording and approve entry
TA-B020,show os and kernel version,canonical,show os and kernel version,[System.Environment]::OSVersion,,easy,low,true,false,READY_FOR_HUMAN_CONFIRMATION,Straightforward canonical or standard paraphrase query with clear gold command,Confirm wording and approve entry
TA-B021,generate a sha256 checksum,canonical,generate a sha256 checksum,Get-FileHash 'filename.txt' -Algorithm SHA256,,easy,low,true,false,READY_FOR_HUMAN_CONFIRMATION,Straightforward canonical or standard paraphrase query with clear gold command,Confirm wording and approve entry
TA-B022,extract column from csv with awk,canonical,extract column from csv with awk,Import-Csv 'file.csv' | Select-Object -ExpandProperty ColumnName,,easy,low,true,false,READY_FOR_HUMAN_CONFIRMATION,Straightforward canonical or standard paraphrase query with clear gold command,Confirm wording and approve entry
TA-B023,list all s3 buckets in the aws account,canonical,list all s3 buckets in the aws account,aws s3 ls,,easy,low,true,false,READY_FOR_HUMAN_CONFIRMATION,Straightforward canonical or standard paraphrase query with clear gold command,Confirm wording and approve entry
TA-B024,extract a specific field from json output using jq,canonical,extract a specific field from json output using jq,Get-Content data.json | ConvertFrom-Json | Select-Object -ExpandProperty users | Select-Object -ExpandProperty name,,easy,low,true,false,READY_FOR_HUMAN_CONFIRMATION,Straightforward canonical or standard paraphrase query with clear gold command,Confirm wording and approve entry
TA-B025,start a new tmux session,canonical,start a new tmux session,tmux new -s session-name,,easy,low,true,false,READY_FOR_HUMAN_CONFIRMATION,Straightforward canonical or standard paraphrase query with clear gold command,Confirm wording and approve entry
TA-B026,revert my last commit without losing work,paraphrase,undo last git commit but keep changes,git reset --soft HEAD~1,,medium,medium,true,false,READY_FOR_HUMAN_CONFIRMATION,Straightforward canonical or standard paraphrase query with clear gold command,Confirm wording and approve entry
TA-B027,show me all docker containers that are currently active,paraphrase,list all running docker containers,docker ps,,medium,low,true,false,READY_FOR_HUMAN_CONFIRMATION,Straightforward canonical or standard paraphrase query with clear gold command,Confirm wording and approve entry
TA-B028,install all project dependencies with npm,paraphrase,install npm packages from package.json,npm install,,medium,low,true,false,READY_FOR_HUMAN_CONFIRMATION,Straightforward canonical or standard paraphrase query with clear gold command,Confirm wording and approve entry
