paper,year,task,dataset,retrieval_or_generation,model,benchmark_size,ood,ambiguity,confidence,functional_evaluation,safety,latency,main_result,limitation,relevance_to_termassist
"NL2Bash: A Corpus and Semantic Parser for Natural Language Interface to the Linux Operating System (Lin et al.)",2018,NL-to-Bash generation,"~9305 StackOverflow-derived NL-command pairs, ~100 utilities",generation,"Seq2Seq / CopyNet / Tellina (template-then-argument)",~600 test pairs (var. by split),no,partial (one-to-many mapping acknowledged),no,no,no,not reported,"best top-1 full-command accuracy ~36%, template accuracy ~49-53%","single-reference scoring undercounts valid paraphrases; narrow ~100-utility domain; argument-filling much harder than structure prediction",Base/historical paper for this research program; TermAssist reframes the task as closed-set retrieval rather than open generation
"NLC2CMD Competition Report (Agarwal et al., NeurIPS 2020 competition track)",2021,NL-to-command generation competition,NL2Bash-derived,generation,"Transformer (winning team Magnum), Tellina baseline",NL2Bash-derived test split,no,no,no,no,no,latency+energy tracked (secondary track),"winning accuracy ~0.53 vs Tellina baseline 0.138 under a custom utility+flag-overlap metric","metric ignores literal arguments entirely; no team submitted a pure lexical-IR baseline (a gap TermAssist's BM25 baseline partially fills)",Establishes the standard eval protocol (utility+flag overlap) that is more compatible with retrieval-style near-miss answers than raw exact match
"Project CLAI: Instrumenting the Command Line as a New Environment for AI Agents (Agarwal et al.)",2020,CLI agent framework,N/A (infrastructure paper),both (hosts retrieval + generation skills),Tellina + a retrieval-style howdoi skill,N/A,no,no,no,no,no,not reported,"establishes IR-style retrieval as a legitimate fielded 'skill' alongside neural generation",infrastructure paper, not a benchmark,"Precedent for treating lexical retrieval as a first-class, deployable approach rather than a naive baseline"
"InterCode: Standardizing and Benchmarking Interactive Coding with Execution Feedback (Yang et al., NeurIPS 2023 D&B)",2023,interactive/execution-grounded bash + SQL agents,bootstrapped from NL2Bash,generation (agentic, multi-turn),"LLM agents (GPT-family etc.)",NL2Bash-derived (IC-Bash),partial (via execution feedback loop),partial,no,yes (execution-based),no,not reported,"shows execution-feedback loops improve task completion over single-shot generation","requires live execution environment; LLM-agent-centric, doesn't apply to a non-LLM retrieval system directly",Motivates TermAssist's own functional evaluation (Phase 10) as the retrieval-appropriate analogue of execution-grounded eval
"Execution-Based Evaluation of NL to Bash and PowerShell for Incident Remediation",2024,execution-based correctness checking,industry/incident-remediation corpus,generation,not specified (industry LLM system),not disclosed,no,no,no,yes (execution-based, primary contribution),no,not reported,"argues exact-match is a weak correctness proxy; proposes execution-based scoring","narrow industry domain (IT incident remediation)",Directly supports TermAssist's Phase 10 rationale: exact-match alone is insufficient, execution/functional checks matter
"LLM-Supported Natural Language to Bash Translation / NL2SH (Westenfelder et al., NAACL 2025)",2025,NL-to-Bash generation,"NL2SH-ALFA: 600 test / ~41K train pairs (441%/135% larger than NL2Bash)",generation,LLMs (multiple, compared),600 test,no,no,no,yes (execution + functional-equivalence heuristic),no,not reported,"even SOTA LLM accuracy on NL2SH 'remains low' -- tempers the assumption that LLM generation trivially beats retrieval",execution-based functional-equivalence heuristic still imperfect (motivates QuoteBench below),Modern generation-based successor to NL2Bash; TermAssist is NOT directly comparable (retrieval over closed set vs. open generation) but is the standard reference point for 'what generation achieves today'
"QuoteBench: How Matched Scores Can Hide Command-Path Failures (Li, Zhang, Tresp, Yang)",2026,"evaluation methodology for LLM-issued shell commands","56 one-shot tasks, 14 incident-derived families",generation (LLM coding agents),LLM coding agents (evaluated, not proposed),56 tasks,no,no,no,yes (exact final-state validation),no,not reported,"matched execution scores alone cannot distinguish generation errors from post-generation transport/parsing failures; success drops 55-73pp when replayed through an added parser","tiny benchmark (56 tasks), LLM-agent-specific failure mode (serialization/reparsing) not directly applicable to a closed-vocabulary retrieval system",Directly supports TermAssist's own 'evaluation beyond exact match' theme (Phase 10/13) -- independent 2026 confirmation that naive matched-score evaluation hides real failure classes
"BashCoder-R1: Towards Robust and Explainable Bash Script Generation with Robustness-Aware GRPO",2026,Bash script generation (RL-trained),BashBench (952 tasks: 773 single-line + 179 multi-line),generation,RL-trained code LLM (GRPO),952,no,no,no,yes (shellcheck-based robustness + functional pass rate),no,not reported,"SyntaxPass ~95-100%, FuncRate ~93%, FullRate ~73-90% depending on task type",requires RL training infrastructure and a capable base LLM; not applicable to a no-LLM-constraint project,"Modern (2026) LLM-based generation SOTA reference point; shows even strong generation systems report functional pass rates well under 100%, reinforcing that TermAssist's closed-retrieval framing (100% gold executability in Phase 10, by construction) is a different, more conservative trade-off, not a worse one"
"BM25 Wins at Scale: A Scaling Study of Retrieval-Augmented Generation Paradigms",2026,retrieval method comparison for RAG,large-scale synthetic/web corpora (~10M+ tokens),retrieval (comparative study),"BM25 vs dense vs hybrid retrievers",corpus-scale study (not task-specific),no,no,no,no,no,yes (throughput/scale discussed),"BM25 overtakes dense/hybrid methods at larger corpus scale, margin approaching 20 points at full scale",results are corpus-scale-dependent; TermAssist's corpus (431 commands) is far smaller than the regime studied,"Directly supports positioning BM25 as a legitimate, non-naive retrieval choice, though TermAssist's corpus is much smaller than this paper's scaling regime -- cited for the general lexical-retrieval-competitiveness argument, not a scale-matched comparison"
"An Empirical Study of Retrieval-Augmented Code Generation: Challenges and Opportunities",2025,retrieval methods for code generation,code generation benchmarks,retrieval (comparative),"BM25 + CodeBERT/UniXcoder/CoCoSoDa dense retrievers",multiple code-gen benchmarks,no,no,no,no,no,not reported,"evaluates 5 retrieval algorithms including BM25 alongside neural code-search models","code-generation-augmentation framing, not command-retrieval-as-the-answer framing (TermAssist retrieves the final answer, not context for a generator)",Methodological precedent for BM25-vs-dense-vs-hybrid comparison in a code-adjacent domain; supports TermAssist's Phase 3/4/5 experimental design
"CodeSearchNet (Husain et al.)",2019,semantic code search,"~2M functions across 6 languages, NL-docstring to code",retrieval,"BM25 baseline + neural bi-encoders",large-scale,no,no,no,no,no,not reported,"establishes MRR/NDCG ranking-metric evaluation as standard for code retrieval; BM25 competitive baseline","general code search, not shell-command-specific",Standard reference for retrieval evaluation methodology (ranking metrics beyond top-1) that TermAssist's benchmark (Phase 7 AUROC/risk-coverage) follows in spirit
