id,query,gold_intent,gold_command,acceptable_commands,category,difficulty,query_type,risk_level,known_task,ambiguity,requires_rejection,source_intent_id,notes,annotation_status
TA-B001,undo last git commit but keep changes,undo last git commit but keep changes,git reset --soft HEAD~1,,git,easy,canonical,medium,true,false,false,0,,needs_review
TA-B002,show git status of current repository,show git status of current repository,git status,,git,easy,canonical,low,true,false,false,23,,needs_review
TA-B003,list all running docker containers,list all running docker containers,docker ps,,docker,easy,canonical,low,true,false,false,7,,needs_review
TA-B004,install npm packages from package.json,install npm packages from package.json,npm install,,npm,easy,canonical,low,true,false,false,10,,needs_review
TA-B005,list all files including hidden,list all files including hidden,Get-ChildItem -Force,,filesystem,easy,canonical,low,true,false,false,101,,needs_review
TA-B006,create a new directory,create a new directory,New-Item -ItemType Directory -Path 'path/to/directory' -Force,,filesystem,easy,canonical,low,true,false,false,102,,needs_review
TA-B007,ping a host to check connectivity,ping a host to check connectivity,Test-Connection -ComputerName google.com -Count 4,,network,easy,canonical,low,true,false,false,128,,needs_review
TA-B008,show all running processes,show all running processes,Get-Process,,process,easy,canonical,low,true,false,false,139,,needs_review
TA-B009,kill a process by name,kill a process by name,Stop-Process -Name 'process_name' -Force,,process,easy,canonical,medium,true,false,false,14,,needs_review
TA-B010,set an environment variable,set an environment variable,$env:VAR_NAME = 'value',,shell,easy,canonical,low,true,false,false,172,,needs_review
TA-B011,show command history,show command history,Get-History,,shell,easy,canonical,low,true,false,false,177,,needs_review
TA-B012,connect to a remote server via ssh,connect to a remote server via ssh,ssh user@hostname,,ssh,easy,canonical,low,true,false,false,3,,needs_review
TA-B013,install pip package,install pip package,pip install package-name,,pip,easy,canonical,low,true,false,false,93,,needs_review
TA-B014,download a file from a url,download a file from a url,curl -O https://example.com/file.zip,,curl,easy,canonical,low,true,false,false,5,,needs_review
TA-B015,find large files bigger than 100mb,find large files bigger than 100mb,Get-ChildItem -Recurse -File | Where-Object { $_.Length -gt 100MB },,find,easy,canonical,low,true,false,false,12,,needs_review
TA-B016,check current user,check current user,$env:USERNAME,,permissions,easy,canonical,low,true,false,false,123,,needs_review
TA-B017,show all kubernetes pods in all namespaces,show all kubernetes pods in all namespaces,kubectl get pods --all-namespaces,,kubernetes,easy,canonical,low,true,false,false,249,,needs_review
TA-B018,generate a random password,generate a random password,openssl rand -base64 32,,security,easy,canonical,low,true,false,false,222,,needs_review
TA-B019,show total disk space,show total disk space,Get-PSDrive -PSProvider FileSystem,,disk,easy,canonical,low,true,false,false,153,,needs_review
TA-B020,show os and kernel version,show os and kernel version,[System.Environment]::OSVersion,,system,easy,canonical,low,true,false,false,211,,needs_review
TA-B021,generate a sha256 checksum,generate a sha256 checksum,Get-FileHash 'filename.txt' -Algorithm SHA256,,encoding,easy,canonical,low,true,false,false,171,,needs_review
TA-B022,extract column from csv with awk,extract column from csv with awk,Import-Csv 'file.csv' | Select-Object -ExpandProperty ColumnName,,awk,easy,canonical,low,true,false,false,161,,needs_review
TA-B023,list all s3 buckets in the aws account,list all s3 buckets in the aws account,aws s3 ls,,aws,easy,canonical,low,true,false,false,269,,needs_review
TA-B024,extract a specific field from json output using jq,extract a specific field from json output using jq,Get-Content data.json | ConvertFrom-Json | Select-Object -ExpandProperty users | Select-Object -ExpandProperty name,,jq,easy,canonical,low,true,false,false,258,,needs_review
TA-B025,start a new tmux session,start a new tmux session,tmux new -s session-name,,terminal,easy,canonical,low,true,false,false,196,,needs_review
TA-B026,revert my last commit without losing work,undo last git commit but keep changes,git reset --soft HEAD~1,,git,medium,paraphrase,medium,true,false,false,0,,needs_review
TA-B027,show me all docker containers that are currently active,list all running docker containers,docker ps,,docker,medium,paraphrase,low,true,false,false,7,,needs_review
TA-B028,install all project dependencies with npm,install npm packages from package.json,npm install,,npm,medium,paraphrase,low,true,false,false,10,,needs_review
TA-B029,search for a text string in all files in the directory tree,search for a string in files recursively,Get-ChildItem -Recurse -File | Select-String -Pattern 'search_string',,grep,medium,paraphrase,low,true,false,false,52,,needs_review
TA-B030,see which git branches exist,view all git branches,git branch -a,,git,medium,paraphrase,low,true,false,false,30,,needs_review
TA-B031,create a new folder,create a new directory,New-Item -ItemType Directory -Path 'path/to/directory' -Force,,filesystem,medium,paraphrase,low,true,false,false,102,,needs_review
TA-B032,check what ports my machine is listening on,show all listening ports,Get-NetTCPConnection -State Listen,,network,medium,paraphrase,low,true,false,false,15,,needs_review
TA-B033,display all environment variables,list all environment variables,Get-ChildItem Env:,,shell,medium,paraphrase,low,true,false,false,174,,needs_review
TA-B034,find python scripts that were edited recently,find all python files modified today,Get-ChildItem -Recurse -Filter '*.py' | Where-Object { $_.LastWriteTime -gt (Get-Date).Date },,find,medium,paraphrase,low,true,false,false,1,,needs_review
TA-B035,save the current changes for later without committing,stash uncommitted changes,git stash,,git,medium,paraphrase,low,true,false,false,28,,needs_review
TA-B036,copy a whole directory to another location,copy a directory recursively,Copy-Item -Recurse 'source/' 'destination/',,filesystem,medium,paraphrase,low,true,false,false,104,,needs_review
TA-B037,look up what python libraries I have,list installed pip packages,pip list,,pip,medium,paraphrase,low,true,false,false,95,,needs_review
TA-B038,merge feature branch into main,merge a branch into current branch,git merge branch-name,,git,medium,paraphrase,medium,true,false,false,33,,needs_review
TA-B039,get inside a running docker container shell,exec into a running docker container,docker exec -it container-name /bin/bash,,docker,medium,paraphrase,low,true,false,false,64,,needs_review
TA-B040,launch docker services defined in the compose file,start docker compose services,docker compose up -d,,docker,medium,paraphrase,low,true,false,false,69,,needs_review
TA-B041,generate an ssh key,generate ssh key pair,ssh-keygen -t ed25519 -C 'your_email@example.com',,ssh,medium,paraphrase,low,true,false,false,21,,needs_review
TA-B042,send a POST request to an API endpoint,make an api post request with json data,"curl -X POST -H 'Content-Type: application/json' -d '{""key"":""value""}' https://api.example.com/endpoint",,curl,medium,paraphrase,low,true,false,false,6,,needs_review
TA-B043,compress a directory into a zip file,create a compressed zip archive,Compress-Archive -Path 'directory/*' -DestinationPath 'archive.zip',,archive,medium,paraphrase,low,true,false,false,165,,needs_review
TA-B044,terminate a process using its PID,kill a process by pid,Stop-Process -Id PID -Force,,process,medium,paraphrase,medium,true,false,false,141,,needs_review
TA-B045,see the differences before staging my changes,view diff of unstaged changes,git diff,,git,medium,paraphrase,low,true,false,false,35,,needs_review
TA-B046,convert mkv video to mp4,convert a video to h264 mp4 using ffmpeg,ffmpeg -i input.mkv -c:v libx264 -crf 23 -c:a aac output.mp4,,ffmpeg,medium,paraphrase,low,true,false,false,262,,needs_review
TA-B047,check how much RAM is being used,show memory usage,"Get-CimInstance Win32_OperatingSystem | Select-Object TotalVisibleMemorySize, FreePhysicalMemory",,process,medium,paraphrase,low,true,false,false,143,,needs_review
TA-B048,create a shortcut command alias,create an alias for a command,Set-Alias -Name ll -Value Get-ChildItem,,shell,medium,paraphrase,low,true,false,false,176,,needs_review
TA-B049,what npm packages have newer versions available,check for outdated npm packages,npm outdated,,npm,medium,paraphrase,low,true,false,false,89,,needs_review
TA-B050,check the SSL certificate for a website,check ssl certificate of a domain,openssl s_client -connect example.com:443 -showcerts,,security,medium,paraphrase,low,true,false,false,225,,needs_review
TA-B051,I want to go back one version in my repo but not lose anything,undo last git commit but keep changes,git reset --soft HEAD~1,,git,hard,low_overlap_paraphrase,medium,true,false,false,0,,needs_review
TA-B052,how much storage is left on my drives,show total disk space,Get-PSDrive -PSProvider FileSystem,,disk,hard,low_overlap_paraphrase,low,true,false,false,153,,needs_review
TA-B053,what services are accepting connections right now,show all listening ports,Get-NetTCPConnection -State Listen,,network,hard,low_overlap_paraphrase,low,true,false,false,15,,needs_review
