id,query,predicted_command,predicted_category,raw_score,confidence,correctness,failure_type,confidence_assessment
P001,undo last git commit but keep changes,git reset --soft HEAD~1,git,42.6735,100,CORRECT,,WELL_CALIBRATED_FOR_THIS_CASE
P002,list all running docker containers,docker ps,docker,33.4215,100,CORRECT,,WELL_CALIBRATED_FOR_THIS_CASE
P003,revert my last commit without losing work,git reset --soft HEAD~1,git,7.5266,94,CORRECT,,WELL_CALIBRATED_FOR_THIS_CASE
P004,show me all docker containers that are currently active,docker ps,docker,15.5113,100,CORRECT,,WELL_CALIBRATED_FOR_THIS_CASE
P005,"I need to find all the python files in my project that were changed today, can you help?","Get-ChildItem -Recurse -Filter '*.py' | Where-Object { $_.LastWriteTime -gt (Get-Date).Date }",find,18.3764,100,CORRECT,,WELL_CALIBRATED_FOR_THIS_CASE
P006,how do I see which ports are open on my machine,Get-NetTCPConnection -State Listen,network,7.1978,90,CORRECT,,WELL_CALIBRATED_FOR_THIS_CASE
P007,compress folder,"Compress-Archive -Path 'directory/*' -DestinationPath 'archive.zip'",archive,5.4377,68,CORRECT,,UNDERCONFIDENT
P008,disk space,Get-PSDrive -PSProvider FileSystem,disk,27.6054,100,CORRECT,,WELL_CALIBRATED_FOR_THIS_CASE
P009,deploy my kubernetes cluster to production with rolling updates,kubectl get events --sort-by='.lastTimestamp' -n namespace,kubernetes,8.578,100,INCORRECT,semantic_mismatch,OVERCONFIDENT
P010,make a cappuccino,Set-ExecutionPolicy -Scope Process -ExecutionPolicy Bypass,permissions,4.2414,53,UNSUPPORTED_OOD,,OVERCONFIDENT
P011,what is the meaning of life,git reset --soft HEAD~1,git,0,0,UNSUPPORTED_OOD,,WELL_CALIBRATED_FOR_THIS_CASE
P012,delete everything,curl -X DELETE https://api.example.com/resource/1,curl,4.5114,56,INCORRECT,lexical_mismatch,OVERCONFIDENT
P013,remove all files,docker image prune -a,docker,6.1016,76,INCORRECT,lexical_mismatch,OVERCONFIDENT
P014,ssh,ssh user@hostname,ssh,20.4988,100,AMBIGUOUS,,OVERCONFIDENT
P015,git,git config --list,git,17.9907,100,AMBIGUOUS,,OVERCONFIDENT
P016,convert video to mp4 format,"ffmpeg -i input.mkv -c:v libx264 -crf 23 -c:a aac output.mp4",ffmpeg,14.8327,100,CORRECT,,WELL_CALIBRATED_FOR_THIS_CASE
P017,check network connectivity to google.com,Test-Connection -ComputerName google.com -Count 4,network,13.7494,100,CORRECT,,WELL_CALIBRATED_FOR_THIS_CASE
P018,install npm packages from package.json,npm install,npm,36.3403,100,CORRECT,,WELL_CALIBRATED_FOR_THIS_CASE
