id,query,query_type,category,expected_classification,gold_command,actual_command,status,primary_mechanism,confidence,score,bm25_score_before_bonus,bonus_applied,score_gap_top1_top2,tokens,top_candidate_1,top_candidate_2,top_candidate_3,top_candidate_4,top_candidate_5,notes
TA-B031,"create a new folder",paraphrase,filesystem,CORRECT,"New-Item -ItemType Directory -Path 'path/to/directory' -Force","npm init -y",INCORRECT,LEXICAL_OVERLAP,91,7.2974,7.2912,FALSE,0.2281,"create new folder","npm init -y (score:7.29,bonus:false)","tmux new -s session-name (score:7.06,bonus:false)","python -m venv venv (score:6.99,bonus:false)","New-Item -ItemType Directory -Path 'path/to/directory' -Force (score:6.99,bonus:false)","git checkout -b branch-name (score:6.78,bonus:false)","overconfident_wrong"
TA-B037,"look up what python libraries I have",paraphrase,pip,CORRECT,"pip list","Resolve-DnsName example.com -Type ALL",INCORRECT,LOW_SEMANTIC_OVERLAP,100,10.8755,10.8736,FALSE,5.5601,"look up what python libraries have","Resolve-DnsName example.com -Type ALL (score:10.87,bonus:false)","python -m venv venv (score:5.31,bonus:false)","npm outdated (score:5.05,bonus:false)","Get-ChildItem -Recurse -Filter '*.py' | Where-Object { $_.LastWriteTime -gt (Get-Date).Date } (score:4.81,bonus:false)","pip install package-name (score:4.24,bonus:false)","overconfident_wrong"
TA-B045,"see the differences before staging my changes",paraphrase,git,CORRECT,"git diff","Compare-Object (Get-Content 'file1.txt') (Get-Content 'file2.txt')",INCORRECT,LEXICAL_OVERLAP,68,5.4377,5.4368,FALSE,0.5638,"see differences before staging my changes","Compare-Object (Get-Content 'file1.txt') (Get-Content 'file2.txt') (score:5.44,bonus:false)","Select-String -Path 'file.txt' -Pattern 'pattern' -Context 3,3 (score:4.87,bonus:false)","git stash (score:4.41,bonus:false)","git stash pop (score:4.29,bonus:false)","git diff (score:4.18,bonus:false)","semantic_mismatch"
TA-B051,"I want to go back one version in my repo but not lose anything",low_overlap_paraphrase,git,CORRECT,"git reset --soft HEAD~1","git remote add origin https://github.com/user/repo.git",INCORRECT,LOW_SEMANTIC_OVERLAP,90,7.1978,7.1956,FALSE,1.3159,"want go back one version my repo but not lose anything","git remote add origin https://github.com/user/repo.git (score:7.20,bonus:false)","Get-Content 'file.txt' | Where-Object { $_ -notmatch 'pattern' } (score:5.88,bonus:false)","pip install package-name==1.2.3 (score:5.55,bonus:false)","Receive-Job -Id 1 -Wait (score:5.44,bonus:false)","[System.Environment]::OSVersion (score:5.41,bonus:false)","low_overlap_failure"
TA-B052,"how much storage is left on my drives",low_overlap_paraphrase,disk,CORRECT,"Get-PSDrive -PSProvider FileSystem","docker rmi image-name",INCORRECT,LOW_SEMANTIC_OVERLAP,61,4.9069,4.9057,FALSE,0.1822,"much storage left my drives","docker rmi image-name (score:4.91,bonus:false)","docker volume create my-volume (score:4.72,bonus:false)","git reset --soft HEAD~1 (score:0.00,bonus:false)","Get-ChildItem -Recurse -Filter '*.py' | Where-Object { $_.LastWriteTime -gt (Get-Date).Date } (score:0.00,bonus:false)","Get-ChildItem -Recurse -Filter '*.js' | Select-String -Pattern 'TODO' (score:0.00,bonus:false)","low_overlap_failure"
TA-B053,"what services are accepting connections right now",low_overlap_paraphrase,network,CORRECT,"Get-NetTCPConnection -State Listen","Get-NetTCPConnection",INCORRECT,LOW_SEMANTIC_OVERLAP,81,6.4952,6.4927,FALSE,0.4630,"what services are accepting connections right now","Get-NetTCPConnection (score:6.49,bonus:false)","docker compose up -d (score:6.03,bonus:false)","git remote -v (score:4.72,bonus:false)","docker compose down (score:4.56,bonus:false)","docker compose logs -f (score:4.39,bonus:false)","low_overlap_failure"
TA-B054,"grab the newest version of a github project",low_overlap_paraphrase,git,CORRECT,"git clone https://github.com/user/repo.git","pip install package-name==1.2.3",INCORRECT,LOW_SEMANTIC_OVERLAP,69,5.5525,5.5494,FALSE,0.1416,"grab newest version github project","pip install package-name==1.2.3 (score:5.55,bonus:false)","[System.Environment]::OSVersion (score:5.41,bonus:false)","npm init -y (score:5.10,bonus:false)","git tag --sort=-version:refname (score:4.80,bonus:false)","(Get-ChildItem -Recurse -Include '*.py','*.js' | Get-Content | Measure-Object -Line).Lines (score:4.55,bonus:false)","low_overlap_failure"
TA-B056,"who am I logged in as",low_overlap_paraphrase,permissions,CORRECT,"$env:USERNAME","npm install --save-dev package-name",INCORRECT,LOW_SEMANTIC_OVERLAP,59,4.692,4.6891,FALSE,0.1312,"who am logged as","npm install --save-dev package-name (score:4.69,bonus:false)","git blame filename.txt (score:4.56,bonus:false)","git bisect good (score:4.26,bonus:false)","git bisect bad (score:4.26,bonus:false)","Start-Process powershell -Verb RunAs (score:3.78,bonus:false)","low_overlap_failure"
TA-B057,"is my server reachable from here",low_overlap_paraphrase,network,CORRECT,"Test-Connection -ComputerName google.com -Count 4","ssh user@hostname",INCORRECT,LOW_SEMANTIC_OVERLAP,62,4.9841,4.9810,FALSE,0.0000,"my server reachable from here","ssh user@hostname (score:4.98,bonus:false)","rsync -avz -e ssh source/ user@host:/destination/ (score:4.98,bonus:false)","scp file.txt user@hostname:/path/to/destination (score:4.86,bonus:false)","ssh user@hostname 'command' (score:4.86,bonus:false)","ssh-copy-id user@hostname (score:4.63,bonus:false)","low_overlap_failure"
TA-B059,"get a quick summary of processor specs",low_overlap_paraphrase,process,CORRECT,"Get-CimInstance Win32_Processor","curl -s https://api.example.com/data",INCORRECT,LOW_SEMANTIC_OVERLAP,71,5.702,5.6986,FALSE,0.0438,"get quick summary processor specs","curl -s https://api.example.com/data (score:5.70,bonus:false)","Get-CimInstance Win32_Processor (score:5.65,bonus:false)","docker system df (score:5.23,bonus:false)","Get-Process -Name 'process_name' | Select-Object Id (score:3.93,bonus:false)","curl -o /dev/null -s -w '%{http_code}' https://example.com (score:3.79,bonus:false)","low_overlap_failure"
TA-B060,"where is python installed on this machine",low_overlap_paraphrase,shell,CORRECT,"Get-Command python3 | Select-Object -ExpandProperty Source","pip list",INCORRECT,LOW_SEMANTIC_OVERLAP,100,9.4665,9.4617,FALSE,0.7950,"where python installed this machine","pip list (score:9.46,bonus:false)","pip uninstall package-name (score:8.67,bonus:false)","python -m venv venv (score:5.31,bonus:false)","npm list -g --depth=0 (score:5.27,bonus:false)","Rename-Computer -NewName 'new-hostname' -Force (score:4.94,bonus:false)","low_overlap_failure"
TA-B062,"am I running the latest packages",low_overlap_paraphrase,npm,CORRECT,"npm outdated","winget upgrade --all",INCORRECT,LOW_SEMANTIC_OVERLAP,100,8.5326,8.5279,FALSE,0.2574,"am running latest packages","winget upgrade --all (score:8.53,bonus:false)","npm update (score:8.27,bonus:false)","pip list (score:4.51,bonus:false)","pip install --upgrade package-name (score:4.47,bonus:false)","pip install -r requirements.txt (score:4.39,bonus:false)","low_overlap_failure"
TA-B065,"get the hash fingerprint of this file",low_overlap_paraphrase,encoding,CORRECT,"Get-FileHash 'filename.txt' -Algorithm SHA256","Get-FileHash 'filename.txt' -Algorithm MD5",INCORRECT,LOW_SEMANTIC_OVERLAP,86,6.8938,6.8888,FALSE,0.0000,"get hash fingerprint this file","Get-FileHash 'filename.txt' -Algorithm MD5 (score:6.89,bonus:false)","Get-FileHash 'filename.txt' -Algorithm SHA256 (score:6.89,bonus:false)","curl -s https://api.example.com/data (score:5.70,bonus:false)","git checkout -b recovery-branch <commit-hash> (score:5.12,bonus:false)","Get-Process -Name 'process_name' | Select-Object Id (score:3.93,bonus:false)","low_overlap_failure"
TA-B069,"stop the docker service",ambiguous,docker,CORRECT,"docker compose down","Stop-Service -Name 'service-name'",INCORRECT,LEXICAL_OVERLAP,100,12.1439,12.1368,FALSE,2.2768,"stop docker service","Stop-Service -Name 'service-name' (score:12.14,bonus:false)","docker stop $(docker ps -q) (score:9.86,bonus:false)","docker compose down (score:9.63,bonus:false)","Start-Service -Name 'service-name' (score:5.77,bonus:false)","Restart-Service -Name 'service-name' (score:5.77,bonus:false)","overconfident_wrong"
TA-B071,"find text in files",ambiguous,grep,CORRECT,"Get-ChildItem -Recurse -File | Select-String -Pattern 'search_string'","Get-ChildItem -Recurse -File | ForEach-Object { (Get-Content $_.FullName) -replace 'old_text','new_text' | Set-Content $_.FullName }",INCORRECT,WRONG_ACTION,100,11.4575,11.4494,FALSE,3.4300,"find text files","Get-ChildItem -Recurse -File | ForEach-Object { (Get-Content $_.FullName) -replace 'old_text','new_text' | Set-Content $_.FullName } (score:11.45,bonus:false)","Get-ChildItem -Recurse -Filter '*.log' (score:8.02,bonus:false)","Get-ChildItem -Recurse -File | Where-Object { $_.Length -gt 100MB } (score:7.85,bonus:false)","Get-ChildItem -Recurse -File | Where-Object { $_.LastWriteTime -gt (Get-Date).AddDays(-7) } (score:7.68,bonus:false)","Get-ChildItem -Recurse -Filter '*.py' | Where-Object { $_.LastWriteTime -gt (Get-Date).Date } (score:7.52,bonus:false)","overconfident_wrong"
TA-B073,"replace some text in a file",ambiguous,sed,CORRECT,"(Get-Content 'filename.txt') -replace 'old','new' | Set-Content 'filename.txt'","Get-ChildItem -Recurse -File | ForEach-Object { (Get-Content $_.FullName) -replace 'old_text','new_text' | Set-Content $_.FullName }",INCORRECT,LEXICAL_OVERLAP,100,11.6093,11.6043,FALSE,0.5622,"replace some text file","Get-ChildItem -Recurse -File | ForEach-Object { (Get-Content $_.FullName) -replace 'old_text','new_text' | Set-Content $_.FullName } (score:11.60,bonus:false)","(Get-Content 'filename.txt') -replace 'old','new' | Set-Content 'filename.txt' (score:11.04,bonus:false)","Get-Content 'filename.txt' | Sort-Object (score:6.53,bonus:false)","Add-Content 'filename.txt' 'new line' (score:6.32,bonus:false)","Clear-Host (score:4.09,bonus:false)","overconfident_wrong"
TA-B074,"set up git for this project",ambiguous,git,CORRECT,"git remote add origin https://github.com/user/repo.git","git config --global user.name 'Your Name'",INCORRECT,LOW_SEMANTIC_OVERLAP,99,7.9165,7.9087,FALSE,0.0000,"set up git this project","git config --global user.name 'Your Name' (score:7.91,bonus:false)","git config --global user.email 'email@example.com' (score:7.91,bonus:false)","Resolve-DnsName example.com -Type ALL (score:5.44,bonus:false)","$env:VAR_NAME = 'value' (score:5.25,bonus:false)","npm init -y (score:5.10,bonus:false)","overconfident_wrong"
TA-B076,"clean up docker",ambiguous,docker,CORRECT,"docker image prune -a","Resolve-DnsName example.com -Type ALL",INCORRECT,LOW_SEMANTIC_OVERLAP,68,5.4377,5.4368,FALSE,0.3893,"clean up docker","Resolve-DnsName example.com -Type ALL (score:5.44,bonus:false)","git reset --hard HEAD && git clean -fd (score:5.05,bonus:false)","docker pull ubuntu:22.04 (score:4.21,bonus:false)","docker rmi image-name (score:3.91,bonus:false)","docker stop $(docker ps -q) (score:3.83,bonus:false)","semantic_mismatch"
TA-B078,"make a cappuccino",ood,general,OOD,"","Set-ExecutionPolicy -Scope Process -ExecutionPolicy Bypass",OOD_FALSE_ACCEPT,OOD_VOCABULARY_COLLISION,53,4.2414,4.2392,FALSE,0.1700,"make cappuccino","Set-ExecutionPolicy -Scope Process -ExecutionPolicy Bypass (score:4.24,bonus:false)","curl -s https://api.example.com/data (score:4.07,bonus:false)","curl -X PUT -H 'Content-Type: application/json' -d '{""key"":""value""}' https://api.example.com/resource/1 (score:3.91,bonus:false)","curl -X DELETE https://api.example.com/resource/1 (score:3.91,bonus:false)","icacls 'filename.txt' /inheritance:r /grant:r 'Everyone:R' (score:3.77,bonus:false)","ood_false_acceptance"
