id,query,gold_intent,gold_command,acceptable_commands,category,difficulty,query_type,risk_level,known_task,ambiguity,requires_rejection,annotation_status
TA-B001,undo last git commit but keep changes,undo last git commit but keep changes,git reset --soft HEAD~1,,git,easy,canonical,medium,true,false,false,validated
TA-B002,show git status of current repository,show git status of current repository,git status,,git,easy,canonical,low,true,false,false,validated
TA-B003,list all running docker containers,list all running docker containers,docker ps,,docker,easy,canonical,low,true,false,false,validated
TA-B004,install npm packages from package.json,install npm packages from package.json,npm install,,npm,easy,canonical,low,true,false,false,validated
TA-B005,list all files including hidden,list all files including hidden,Get-ChildItem -Force,,filesystem,easy,canonical,low,true,false,false,validated
TA-B006,create a new directory,create a new directory,New-Item -ItemType Directory -Path 'path/to/directory' -Force,,filesystem,easy,canonical,low,true,false,false,validated
TA-B007,ping a host to check connectivity,ping a host to check connectivity,Test-Connection -ComputerName google.com -Count 4,,network,easy,canonical,low,true,false,false,validated
TA-B008,show all running processes,show all running processes,Get-Process,,process,easy,canonical,low,true,false,false,validated
TA-B009,kill a process by name,kill a process by name,Stop-Process -Name 'process_name' -Force,,process,easy,canonical,medium,true,false,false,validated
TA-B010,set an environment variable,set an environment variable,$env:VAR_NAME = 'value',,shell,easy,canonical,low,true,false,false,validated
TA-B011,show command history,show command history,Get-History,,shell,easy,canonical,low,true,false,false,validated
TA-B012,connect to a remote server via ssh,connect to a remote server via ssh,ssh user@hostname,,ssh,easy,canonical,low,true,false,false,validated
TA-B013,install pip package,install pip package,pip install package-name,,pip,easy,canonical,low,true,false,false,validated
TA-B014,download a file from a url,download a file from a url,curl -O https://example.com/file.zip,,curl,easy,canonical,low,true,false,false,validated
TA-B015,find large files bigger than 100mb,find large files bigger than 100mb,Get-ChildItem -Recurse -File | Where-Object { $_.Length -gt 100MB },,find,easy,canonical,low,true,false,false,validated
TA-B016,check current user,check current user,$env:USERNAME,,permissions,easy,canonical,low,true,false,false,validated
TA-B017,show all kubernetes pods in all namespaces,show all kubernetes pods in all namespaces,kubectl get pods --all-namespaces,,kubernetes,easy,canonical,low,true,false,false,validated
