id,query_type,expected_classification,gold_command,retrieved_command,top1_score,tags
TA-B001,canonical,CORRECT,"git reset --soft HEAD~1","git reset --soft HEAD~1",1,"CORRECT"
TA-B002,canonical,CORRECT,"git status","git status",1,"CORRECT"
TA-B003,canonical,CORRECT,"docker ps","docker ps",1,"CORRECT"
TA-B004,canonical,CORRECT,"npm install","npm install",1,"CORRECT"
TA-B005,canonical,CORRECT,"Get-ChildItem -Force","Get-ChildItem -Force",1,"CORRECT"
TA-B006,canonical,CORRECT,"New-Item -ItemType Directory -Path 'path/to/directory' -Force","New-Item -ItemType Directory -Path 'path/to/directory' -Force",1,"CORRECT"
TA-B007,canonical,CORRECT,"Test-Connection -ComputerName google.com -Count 4","Test-Connection -ComputerName google.com -Count 4",1,"CORRECT"
TA-B008,canonical,CORRECT,"Get-Process","Get-Process",1,"CORRECT"
TA-B009,canonical,CORRECT,"Stop-Process -Name 'process_name' -Force","Stop-Process -Name 'process_name' -Force",1,"CORRECT"
TA-B010,canonical,CORRECT,"$env:VAR_NAME = 'value'","$env:VAR_NAME = 'value'",1,"CORRECT"
TA-B011,canonical,CORRECT,"Get-History","Get-History",1,"CORRECT"
TA-B012,canonical,CORRECT,"ssh user@hostname","ssh user@hostname",1,"CORRECT"
TA-B013,canonical,CORRECT,"pip install package-name","pip install package-name",1,"CORRECT"
TA-B014,canonical,CORRECT,"curl -O https://example.com/file.zip","curl -O https://example.com/file.zip",1,"CORRECT"
TA-B015,canonical,CORRECT,"Get-ChildItem -Recurse -File | Where-Object { $_.Length -gt 100MB }","Get-ChildItem -Recurse -File | Where-Object { $_.Length -gt 100MB }",1,"CORRECT"
TA-B016,canonical,CORRECT,"$env:USERNAME","$env:USERNAME",1,"CORRECT"
TA-B017,canonical,CORRECT,"kubectl get pods --all-namespaces","kubectl get pods --all-namespaces",1,"CORRECT"
TA-B018,canonical,CORRECT,"openssl rand -base64 32","openssl rand -base64 32",1,"CORRECT"
TA-B019,canonical,CORRECT,"Get-PSDrive -PSProvider FileSystem","Get-PSDrive -PSProvider FileSystem",1,"CORRECT"
TA-B020,canonical,CORRECT,"[System.Environment]::OSVersion","[System.Environment]::OSVersion",1,"CORRECT"
TA-B021,canonical,CORRECT,"Get-FileHash 'filename.txt' -Algorithm SHA256","Get-FileHash 'filename.txt' -Algorithm SHA256",1,"CORRECT"
TA-B022,canonical,CORRECT,"Import-Csv 'file.csv' | Select-Object -ExpandProperty ColumnName","Import-Csv 'file.csv' | Select-Object -ExpandProperty ColumnName",1,"CORRECT"
TA-B023,canonical,CORRECT,"aws s3 ls","aws s3 ls",1,"CORRECT"
TA-B024,canonical,CORRECT,"Get-Content data.json | ConvertFrom-Json | Select-Object -ExpandProperty users | Select-Object -ExpandProperty name","Get-Content data.json | ConvertFrom-Json | Select-Object -ExpandProperty users | Select-Object -ExpandProperty name",1,"CORRECT"
TA-B025,canonical,CORRECT,"tmux new -s session-name","tmux new -s session-name",1,"CORRECT"
TA-B026,paraphrase,CORRECT,"git reset --soft HEAD~1","git reset --soft HEAD~1",1,"CORRECT"
TA-B027,paraphrase,CORRECT,"docker ps","docker ps",1,"CORRECT"
TA-B028,paraphrase,CORRECT,"npm install","npm install",1,"CORRECT"
TA-B029,paraphrase,CORRECT,"Get-ChildItem -Recurse -File | Select-String -Pattern 'search_string'","Get-ChildItem -Recurse -File | Select-String -Pattern 'search_string'",1,"CORRECT"
TA-B030,paraphrase,CORRECT,"git branch -a","git branch -a",1,"CORRECT"
