id,query,category,query_type,difficulty,risk_level,expected_classification,gold_command,actual_retrieved,actual_command,actual_score,actual_confidence,latency_ms,evaluation_status,error_category,gold_status
TA-B001,undo last git commit but keep changes,git,canonical,easy,medium,CORRECT,git reset --soft HEAD~1,true,git reset --soft HEAD~1,42.6735,100,21.6023,CORRECT,,VALIDATED
TA-B002,show git status of current repository,git,canonical,easy,low,CORRECT,git status,true,git status,32.7568,100,4.3712,CORRECT,,VALIDATED
TA-B003,list all running docker containers,docker,canonical,easy,low,CORRECT,docker ps,true,docker ps,33.4215,100,3.663,CORRECT,,VALIDATED
TA-B004,install npm packages from package.json,npm,canonical,easy,low,CORRECT,npm install,true,npm install,36.3403,100,6.8729,CORRECT,,VALIDATED
TA-B005,list all files including hidden,filesystem,canonical,easy,low,CORRECT,Get-ChildItem -Force,true,Get-ChildItem -Force,35.7364,100,3.1087,CORRECT,,VALIDATED
TA-B006,create a new directory,filesystem,canonical,easy,low,CORRECT,New-Item -ItemType Directory -Path 'path/to/directory' -Force,true,New-Item -ItemType Directory -Path 'path/to/directory' -Force,25.8392,100,3.3586,CORRECT,,VALIDATED
TA-B007,ping a host to check connectivity,network,canonical,easy,low,CORRECT,Test-Connection -ComputerName google.com -Count 4,true,Test-Connection -ComputerName google.com -Count 4,33.7898,100,3.5913,CORRECT,,VALIDATED
TA-B008,show all running processes,process,canonical,easy,low,CORRECT,Get-Process,true,Get-Process,28.6193,100,13.0445,CORRECT,,VALIDATED
TA-B009,kill a process by name,process,canonical,easy,medium,CORRECT,Stop-Process -Name 'process_name' -Force,true,Stop-Process -Name 'process_name' -Force,32.5554,100,5.5209,CORRECT,,VALIDATED
TA-B010,set an environment variable,shell,canonical,easy,low,CORRECT,$env:VAR_NAME = 'value',true,$env:VAR_NAME = 'value',33.0902,100,6.8174,CORRECT,,VALIDATED
TA-B011,show command history,shell,canonical,easy,low,CORRECT,Get-History,true,Get-History,24.0251,100,7.0132,CORRECT,,VALIDATED
TA-B012,connect to a remote server via ssh,ssh,canonical,easy,low,CORRECT,ssh user@hostname,true,ssh user@hostname,37.5389,100,5.9927,CORRECT,,VALIDATED
TA-B013,install pip package,pip,canonical,easy,low,CORRECT,pip install package-name,true,pip install package-name,30.4667,100,4.7507,CORRECT,,VALIDATED
TA-B014,download a file from a url,curl,canonical,easy,low,CORRECT,curl -O https://example.com/file.zip,true,curl -O https://example.com/file.zip,33.2448,100,4.6704,CORRECT,,VALIDATED
TA-B015,find large files bigger than 100mb,find,canonical,easy,low,CORRECT,Get-ChildItem -Recurse -File | Where-Object { $_.Length -gt 100MB },true,Get-ChildItem -Recurse -File | Where-Object { $_.Length -gt 100MB },46.3021,100,3.6919,CORRECT,,VALIDATED
TA-B016,check current user,permissions,canonical,easy,low,CORRECT,$env:USERNAME,true,$env:USERNAME,28.4136,100,5.4336,CORRECT,,VALIDATED
TA-B017,show all kubernetes pods in all namespaces,kubernetes,canonical,easy,low,CORRECT,kubectl get pods --all-namespaces,true,kubectl get pods --all-namespaces,33.4456,100,4.9163,CORRECT,,VALIDATED
TA-B018,generate a random password,security,canonical,easy,low,CORRECT,openssl rand -base64 32,true,openssl rand -base64 32,35.8727,100,3.4201,CORRECT,,VALIDATED
TA-B019,show total disk space,disk,canonical,easy,low,CORRECT,Get-PSDrive -PSProvider FileSystem,true,Get-PSDrive -PSProvider FileSystem,33.1759,100,5.3493,CORRECT,,VALIDATED
TA-B020,show os and kernel version,system,canonical,easy,low,CORRECT,[System.Environment]::OSVersion,true,[System.Environment]::OSVersion,34.4852,100,4.1757,CORRECT,,VALIDATED
TA-B021,generate a sha256 checksum,encoding,canonical,easy,low,CORRECT,Get-FileHash 'filename.txt' -Algorithm SHA256,true,Get-FileHash 'filename.txt' -Algorithm SHA256,32.0697,100,2.9245,CORRECT,,VALIDATED
TA-B022,extract column from csv with awk,awk,canonical,easy,low,CORRECT,Import-Csv 'file.csv' | Select-Object -ExpandProperty ColumnName,true,Import-Csv 'file.csv' | Select-Object -ExpandProperty ColumnName,38.2529,100,3.5672,CORRECT,,VALIDATED
TA-B023,list all s3 buckets in the aws account,aws,canonical,easy,low,CORRECT,aws s3 ls,true,aws s3 ls,40.9761,100,2.4792,CORRECT,,VALIDATED
TA-B024,extract a specific field from json output using jq,jq,canonical,easy,low,CORRECT,Get-Content data.json | ConvertFrom-Json | Select-Object -ExpandProperty users | Select-Object -ExpandProperty name,true,Get-Content data.json | ConvertFrom-Json | Select-Object -ExpandProperty users | Select-Object -ExpandProperty name,43.1845,100,3.0365,CORRECT,,VALIDATED
TA-B025,start a new tmux session,terminal,canonical,easy,low,CORRECT,tmux new -s session-name,true,tmux new -s session-name,33.425,100,2.876,CORRECT,,VALIDATED
TA-B026,revert my last commit without losing work,git,paraphrase,medium,medium,CORRECT,git reset --soft HEAD~1,true,git reset --soft HEAD~1,7.5266,94,3.8821,CORRECT,,VALIDATED
